id,Arts & Culture,Business & Entrepreneurs,Celebrity & Pop Culture,Diaries & Daily Life,Family,Fashion & Style,"Film, TV & Video",Fitness & Health,Food & Dining,Learning & Educational,News & Social Concern,Relationships,Science & Technology,Youth & Student Life,Music,Gaming,Sports,Travel & Adventure,Other Hobbies,topics,#topics,lang,text
1.4329765157010885e+18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Diaries & Daily Life', 'Relationships']",2.0,es,"Tipo de persona que odio: la que tiene el volumen del TECLADO DEL MÓVIL puesto y vas escuchando tic tic tic cada vez que escribe, tengo una al lado, Leire si ves esto, me cago en tu estampa :)"
1.4329765174751475e+18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"['Diaries & Daily Life', 'Youth & Student Life']",2.0,es,me hace falta una fiesta bien criminal para agarrarle cariño a la vida
1.433278502183129e+18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['Diaries & Daily Life', 'Other Hobbies']",2.0,es,septiembre con s de scaloneta
1.433338897644331e+18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Diaries & Daily Life', 'Food & Dining']",2.0,es,"Cuando me fui de España, hace siete años, dejé atrás un país razonablemente normal. Ahora, sin embargo, todo el mundo pide y hasta bebe agua con gas en bares y restaurantes. Agua con gas, voluntariamente. Una epidemia silenciosa y grave, pero esto no lo verás en los medios."
1.4333389057015355e+18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Business & Entrepreneurs', 'Diaries & Daily Life']",2.0,es,"El que hace negocios con malandros tiene que saber que lo van a engañar, pero lo peor es que pagarán hasta los que se han comportado correctamente."
1.433369102559687e+18,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Celebrity & Pop Culture', 'Film, TV & Video', 'Relationships']",3.0,es,"Algo dentro de mi cambio cuando te vi por primera vez
#InadinaAskDivinity2S
#AmorObstinado2S
#CanYaman"
1.4334295004364431e+18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Diaries & Daily Life', 'News & Social Concern']",2.0,es,"La pandemia trajo a Twitter a un grupo de “entendidos en la materia”, pero, con el pasar del tiempo, ahora se creen voz autorizada en una infinidad de temas como esgrima olímpico, política, leyes y hasta Afganistán. Ya cállense, chch. Están acá para hablar del virus de mierda."
1.4335200996973076e+18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Diaries & Daily Life'],1.0,es,Gracias a dios se le dios. Una buena en medio de tantas malas. Me pone muy feliz la verdad
1.4335502978303547e+18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Arts & Culture', 'Celebrity & Pop Culture', 'Relationships']",3.0,es,Hoy conocí a @laufer4 … más divina imposible! Súper amable y sencilla. Un placer sacarle fotos 🥰
1.4336710909712876e+18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"['Diaries & Daily Life', 'News & Social Concern', 'Sports', 'Travel & Adventure']",4.0,es,Hemos zarpado muy cerquita de donde un grupo de valientes dio la primera vuelta al mundo.  Emociona recordar a ese tipo de gente. En @HoyPorHoy camino de Sanlúcar de Barrameda.  Una travesía que merece la pena. #Andalucia
